crop_id,crop_variety_id,country_id,region_id,price,created_at
6,3,4,2,252,2024-10-29 04:02:35
2,8,4,3,194,2024-11-25 04:02:35
3,1,1,2,563,2024-11-17 04:02:35
2,7,4,4,524,2024-11-22 04:02:35
2,8,4,1,91,2024-11-16 04:02:35
5,5,2,4,916,2024-11-23 04:02:35
1,2,3,4,70,2024-11-08 04:02:35
5,1,4,2,857,2024-10-31 04:02:35
1,2,4,3,821,2024-11-09 04:02:35
2,2,1,3,483,2024-11-14 04:02:35
6,6,1,4,412,2024-11-08 04:02:35
2,3,4,2,456,2024-10-31 04:02:35
3,8,4,4,438,2024-11-08 04:02:35
4,2,1,4,566,2024-11-11 04:02:35
6,1,2,3,937,2024-10-28 04:02:35
6,4,1,1,193,2024-11-07 04:02:35
6,7,4,1,507,2024-10-29 04:02:35
3,2,2,1,941,2024-11-03 04:02:35
4,8,1,3,616,2024-11-01 04:02:35
3,1,3,4,265,2024-11-04 04:02:35
3,3,3,4,329,2024-11-06 04:02:35
1,1,3,3,843,2024-11-07 04:02:35
4,4,4,1,758,2024-11-19 04:02:35
1,6,3,2,865,2024-11-25 04:02:35
3,7,4,4,920,2024-11-11 04:02:35
1,7,2,2,112,2024-11-06 04:02:35
2,2,1,1,620,2024-11-19 04:02:35
6,8,4,1,761,2024-11-03 04:02:35
1,1,2,4,285,2024-11-20 04:02:35
3,8,1,1,631,2024-11-01 04:02:35
2,3,2,1,268,2024-10-26 04:02:35
4,2,1,1,257,2024-11-10 04:02:35
5,8,2,3,999,2024-11-15 04:02:35
4,4,3,1,840,2024-11-02 04:02:35
5,2,1,4,919,2024-10-27 04:02:35
1,1,1,2,840,2024-11-06 04:02:35
4,4,3,2,382,2024-11-22 04:02:35
1,5,2,3,862,2024-11-07 04:02:35
1,3,2,1,482,2024-11-01 04:02:35
1,8,1,1,582,2024-11-04 04:02:35
4,3,2,3,538,2024-11-24 04:02:35
1,5,1,2,624,2024-11-21 04:02:35
4,3,4,2,699,2024-11-11 04:02:35
3,8,4,1,891,2024-11-06 04:02:35
5,8,3,2,412,2024-11-07 04:02:35
2,8,1,4,873,2024-11-18 04:02:35
2,7,2,2,638,2024-11-16 04:02:35
4,1,2,4,801,2024-11-18 04:02:35
4,3,1,2,93,2024-11-10 04:02:35
1,7,2,1,527,2024-11-11 04:02:35
3,4,2,2,302,2024-11-19 04:02:35
5,4,4,1,496,2024-11-22 04:02:35
1,3,3,4,305,2024-11-17 04:02:35
2,3,2,2,932,2024-11-18 04:02:35
4,2,4,4,991,2024-11-17 04:02:35
6,6,2,1,977,2024-11-24 04:02:35
5,6,3,4,552,2024-11-24 04:02:35
3,3,3,3,498,2024-10-27 04:02:35
1,6,1,1,614,2024-11-19 04:02:35
1,8,4,4,381,2024-10-30 04:02:35
3,6,4,1,185,2024-11-25 04:02:35
2,2,3,3,964,2024-11-19 04:02:35
5,8,3,3,661,2024-10-28 04:02:35
6,1,2,3,852,2024-11-08 04:02:35
1,6,4,2,285,2024-11-15 04:02:35
2,2,4,3,821,2024-11-13 04:02:35
4,7,4,1,904,2024-11-17 04:02:35
6,3,3,3,861,2024-11-04 04:02:35
3,8,4,1,296,2024-11-17 04:02:35
2,2,3,4,413,2024-11-08 04:02:35
6,4,1,1,618,2024-10-31 04:02:35
2,4,1,1,269,2024-10-29 04:02:35
5,4,1,2,729,2024-11-25 04:02:35
5,8,1,1,146,2024-11-15 04:02:35
5,3,2,4,110,2024-11-22 04:02:35
1,8,1,1,363,2024-10-31 04:02:35
3,1,1,1,496,2024-11-10 04:02:35
2,6,1,2,547,2024-11-18 04:02:35
2,8,1,2,912,2024-11-23 04:02:35
2,3,3,2,466,2024-10-27 04:02:35
3,7,1,1,951,2024-11-23 04:02:35
6,4,1,3,448,2024-11-20 04:02:35
6,6,3,2,398,2024-11-21 04:02:35
5,6,3,4,252,2024-11-20 04:02:35
2,4,3,2,355,2024-10-29 04:02:35
1,1,2,3,139,2024-11-14 04:02:35
3,2,2,2,475,2024-11-02 04:02:35
2,2,1,3,835,2024-11-13 04:02:35
1,6,4,3,253,2024-11-06 04:02:35
1,5,4,4,445,2024-10-29 04:02:35
2,4,3,3,648,2024-11-07 04:02:35
5,8,4,2,752,2024-11-19 04:02:35
4,8,1,4,979,2024-10-26 04:02:35
1,7,4,1,280,2024-11-11 04:02:35
1,6,3,2,703,2024-11-22 04:02:35
5,6,3,2,552,2024-10-31 04:02:35
5,5,1,1,542,2024-11-13 04:02:35
4,8,2,3,398,2024-10-29 04:02:35
6,5,3,2,566,2024-11-14 04:02:35
2,1,1,3,369,2024-11-13 04:02:35
